facility_id,period,opd_visits,anc1_first_visit,anc4_visits,facility_deliveries,bcg_doses,penta1_doses,penta3_doses,measles1_doses,fully_immunized_under1,vaccine_stockout_days,eligible_under1_population,submission_date
FAC00036,2024-01,6883.0,598.0,302.0,210.0,724.0,714.0,59.0,,30.0,0,310,2024-02-18
FAC00036,2024-02,7948.0,691.0,351.0,296.0,837.0,825.0,65.0,46.0,42.0,0,321,2024-03-10
FAC00036,2024-03,5902.0,513.0,282.0,203.0,621.0,612.0,47.0,44.0,39.0,0,319,2024-04-13
FAC00036,2024-04,6481.0,563.0,304.0,213.0,682.0,672.0,51.0,50.0,40.0,0,313,2024-05-23
FAC00036,2024-05,8561.0,744.0,,333.0,901.0,888.0,68.0,53.0,48.0,0,310,2024-06-21
FAC00036,2024-06,17325.0,694.0,,,840.0,828.0,66.0,56.0,42.0,0,315,2024-07-13
FAC00037,2024-01,2660.0,465.0,89.0,7.0,89.0,164.0,131.0,40.0,35.0,2,433,2024-02-02
FAC00037,2024-02,3418.0,597.0,109.0,8.0,115.0,210.0,187.0,49.0,44.0,5,416,2024-03-08
FAC00037,2024-03,3744.0,654.0,116.0,9.0,126.0,230.0,143.0,52.0,46.0,5,424,2024-04-01
FAC00037,2024-04,4048.0,707.0,124.0,9.0,,249.0,172.0,56.0,40.0,7,409,2024-05-19
FAC00037,2024-05,4234.0,740.0,131.0,10.0,142.0,261.0,227.0,59.0,42.0,4,398,2024-05-24
FAC00037,2024-06,3157.0,551.0,,8.0,106.0,,,46.0,33.0,5,402,2024-06-30
FAC00038,2024-01,851.0,117.0,45.0,,679.0,131.0,104.0,63.0,44.0,3,158,2024-01-30
FAC00038,2024-02,859.0,118.0,75.0,65.0,685.0,132.0,92.0,60.0,43.0,2,172,2024-02-25
FAC00038,2024-03,878.0,121.0,56.0,33.0,700.0,135.0,86.0,60.0,42.0,1,168,2024-04-05
FAC00038,2024-04,881.0,121.0,43.0,30.0,703.0,136.0,114.0,59.0,48.0,6,162,2024-04-29
FAC00038,2024-05,1067.0,146.0,59.0,49.0,851.0,164.0,140.0,,53.0,5,166,2024-06-07
FAC00038,2024-06,1009.0,139.0,59.0,32.0,805.0,155.0,114.0,71.0,50.0,1,164,2024-07-09
FAC00039,2024-01,6529.0,144.0,56.0,34.0,71.0,,473.0,106.0,81.0,0,521,2024-01-29
FAC00039,2024-02,6450.0,142.0,90.0,73.0,70.0,674.0,487.0,99.0,79.0,0,554,2024-03-18
FAC00039,2024-03,7670.0,169.0,60.0,33.0,,802.0,523.0,114.0,99.0,0,553,2024-04-07
FAC00039,2024-04,6411.0,141.0,69.0,43.0,69.0,670.0,430.0,94.0,,0,546,2024-04-24
FAC00039,2024-05,5875.0,129.0,64.0,51.0,64.0,,454.0,87.0,67.0,0,562,2024-06-13
FAC00039,2024-06,,136.0,93.0,66.0,67.0,647.0,444.0,95.0,83.0,0,544,2024-06-26
FAC00040,2024-01,7227.0,267.0,118.0,61.0,433.0,560.0,238.0,76.0,56.0,3,1060,2024-02-11
FAC00040,2024-02,8230.0,,99.0,57.0,493.0,638.0,258.0,82.0,65.0,2,999,2024-02-25
FAC00040,2024-03,22363.0,308.0,117.0,79.0,500.0,647.0,253.0,80.0,57.0,4,1067,2024-04-10
FAC00040,2024-04,8297.0,,191.0,100.0,497.0,643.0,249.0,79.0,57.0,2,997,2024-04-23
FAC00040,2024-05,7296.0,269.0,82.0,56.0,437.0,566.0,221.0,70.0,51.0,7,1083,2024-05-22
FAC00040,2024-06,6930.0,256.0,111.0,82.0,415.0,537.0,217.0,69.0,,0,994,2024-07-13
FAC00041,2024-01,7902.0,311.0,213.0,77.0,59.0,109.0,80.0,57.0,46.0,2,479,2024-01-27
FAC00041,2024-02,8787.0,346.0,154.0,81.0,66.0,121.0,133.0,98.0,77.0,2,460,2024-03-16
