facility_id,facility_name,state,lga,facility_type,ownership,latitude,longitude
FAC00028,Abia PHC 28,Abia,Abia East,PHC,Public,7.232029,9.225487
FAC00029,Abia PHC 29,Abia,Abia North,PHC,Public,6.539154,5.962513
FAC00030,Abia PHC 30,Abia,Abia Central,PHC,Public,6.848405,3.442643
FAC00031,Abia PHC 31,Abia,Abia Central,PHC,Public,7.450712,10.612216
FAC00032,Abia PHC 32,Abia,Abia South,PHC,Public,13.856505,5.904663
FAC00033,Abia PHC 33,Abia,Abia East,PHC,Public,6.421599,12.637677
FAC00034,Adamawa PHC 1,Adamawa,Adamawa East,PHC,Private,12.164319,12.580141
FAC00035,Adamawa PHC 2,Adamawa,Adamawa Central,PHC,Public,12.583588,6.911507
FAC00036,Adamawa PHC 3,Adamawa,Adamawa East,PHC,Public,7.48666,4.154119
FAC00037,Adamawa General Hospital 4,Adamawa,Adamawa South,General Hospital,Public,12.377101,11.108281
FAC00038,Adamawa PHC 5,Adamawa,Adamawa South,PHC,Public,6.579416,10.919809
FAC00039,Adamawa General Hospital 6,Adamawa,Adamawa West,General Hospital,Public,6.608292,14.955044
FAC00040,Adamawa General Hospital 7,Adamawa,Adamawa East,General Hospital,Public,5.887071,6.346456
FAC00041,Adamawa PHC 8,Adamawa,Adamawa West,PHC,Public,12.870864,12.358507
FAC00042,Adamawa PHC 9,Adamawa,Adamawa West,PHC,Public,12.985542,10.277149
FAC00043,Adamawa PHC 10,Adamawa,Adamawa East,PHC,Public,13.736638,6.407052
FAC00044,Adamawa PHC 11,Adamawa,Adamawa East,PHC,Public,10.519613,5.691232
FAC00045,Adamawa PHC 12,Adamawa,Adamawa Central,PHC,Public,5.788227,7.397625
FAC00046,Adamawa PHC 13,Adamawa,Adamawa North,PHC,Public,9.425402,9.105769
FAC00047,Adamawa PHC 14,Adamawa,Adamawa Central,PHC,Public,8.867422,13.873185
FAC00048,Adamawa PHC 15,Adamawa,Adamawa North,PHC,Public,9.769039,8.910212
FAC00049,Adamawa PHC 16,Adamawa,Adamawa East,PHC,Public,9.720042,12.222648
FAC00050,Adamawa PHC 17,Adamawa,Adamawa Central,PHC,Private,6.795603,13.601928
FAC00051,Adamawa PHC 18,Adamawa,Adamawa Central,PHC,Private,8.281841,14.599858
FAC00052,Adamawa General Hospital 19,Adamawa,Adamawa Central,General Hospital,Private,7.850977,13.21364
FAC00053,Adamawa PHC 20,Adamawa,Adamawa North,PHC,Public,7.946915,13.130558
FAC00054,Adamawa General Hospital 21,Adamawa,Adamawa South,General Hospital,Public,10.150072,14.880646
FAC00055,Adamawa PHC 22,Adamawa,Adamawa South,PHC,Public,7.225508,13.184038
FAC00056,Adamawa PHC 23,Adamawa,Adamawa Central,PHC,Public,6.965101,8.03737
FAC00057,Adamawa PHC 24,Adamawa,Adamawa West,PHC,Public,9.113424,9.018196
FAC00058,Adamawa PHC 25,Adamawa,Adamawa West,PHC,Public,12.866171,3.331401
FAC00059,Adamawa PHC 26,Adamawa,Adamawa East,PHC,Public,8.65598,9.511736
FAC00060,Adamawa PHC 27,Adamawa,Adamawa North,PHC,Public,4.373482,12.871207
FAC00061,Adamawa PHC 28,Adamawa,Adamawa North,PHC,Public,12.27869,6.258515
FAC00062,Adamawa General Hospital 29,Adamawa,Adamawa Central,General Hospital,Public,5.9438,7.936247
FAC00063,Adamawa PHC 30,Adamawa,Adamawa Central,PHC,Public,13.695369,11.575141
FAC00064,Adamawa PHC 31,Adamawa,Adamawa East,PHC,Public,8.389714,3.941477
FAC00065,Adamawa PHC 32,Adamawa,Adamawa North,PHC,Private,10.884999,3.698323
FAC00066,Adamawa General Hospital 33,Adamawa,Adamawa North,General Hospital,Public,10.601974,6.359207
FAC00067,Akwa Ibom General Hospital 1,Akwa Ibom,Akwa Ibom Central,General Hospital,Public,10.117207,8.035201
FAC00068,Akwa Ibom PHC 2,Akwa Ibom,Akwa Ibom Central,PHC,Public,5.201646,7.102556
FAC00069,Akwa Ibom PHC 3,Akwa Ibom,Akwa Ibom West,PHC,Public,5.753303,3.205933
FAC00070,Akwa Ibom PHC 4,Akwa Ibom,Akwa Ibom West,PHC,Public,5.732019,8.20622
FAC00071,Akwa Ibom PHC 5,Akwa Ibom,Akwa Ibom Central,PHC,Public,12.866804,6.130723
FAC00072,Akwa Ibom PHC 6,Akwa Ibom,Akwa Ibom North,PHC,Private,9.393774,11.207565
FAC00073,Akwa Ibom PHC 7,Akwa Ibom,Akwa Ibom South,PHC,Private,4.265113,10.029307
FAC00074,Akwa Ibom General Hospital 8,Akwa Ibom,Akwa Ibom South,General Hospital,Public,9.73367,4.542004
FAC00075,Akwa Ibom General Hospital 9,Akwa Ibom,Akwa Ibom West,General Hospital,Public,7.861026,14.534287
FAC00076,Akwa Ibom General Hospital 10,Akwa Ibom,Akwa Ibom Central,General Hospital,Public,6.145891,7.527109
FAC00077,Akwa Ibom PHC 11,Akwa Ibom,Akwa Ibom North,PHC,Public,10.557226,7.624759
FAC00078,Akwa Ibom PHC 12,Akwa Ibom,Akwa Ibom East,PHC,Public,6.818548,4.417978
FAC00079,Akwa Ibom PHC 13,Akwa Ibom,Akwa Ibom Central,PHC,Public,4.391863,8.015352
FAC00080,Akwa Ibom General Hospital 14,Akwa Ibom,Akwa Ibom Central,General Hospital,Public,11.506148,12.682017
FAC00081,Akwa Ibom General Hospital 15,Akwa Ibom,Akwa Ibom South,General Hospital,Public,6.500164,9.966528
FAC00082,Akwa Ibom General Hospital 16,Akwa Ibom,Akwa Ibom West,General Hospital,Public,8.28994,12.010453
FAC00083,Akwa Ibom PHC 17,Akwa Ibom,Akwa Ibom North,PHC,Public,9.343275,8.958734
FAC00084,Akwa Ibom PHC 18,Akwa Ibom,Akwa Ibom East,PHC,Public,7.892017,3.130052
FAC00085,Akwa Ibom General Hospital 19,Akwa Ibom,Akwa Ibom West,General Hospital,Public,13.50062,14.407286
FAC00086,Akwa Ibom PHC 20,Akwa Ibom,Akwa Ibom Central,PHC,Public,4.917041,10.229291
FAC00087,Akwa Ibom PHC 21,Akwa Ibom,Akwa Ibom Central,PHC,Public,11.91579,12.475418
FAC00088,Akwa Ibom PHC 22,Akwa Ibom,Akwa Ibom South,PHC,Public,8.415305,13.65245
FAC00089,Akwa Ibom PHC 23,Akwa Ibom,Akwa Ibom West,PHC,Public,10.8803,13.043566
FAC00090,Akwa Ibom General Hospital 24,Akwa Ibom,Akwa Ibom Central,General Hospital,Public,6.225764,7.759819
FAC00091,Akwa Ibom General Hospital 25,Akwa Ibom,Akwa Ibom Central,General Hospital,Public,4.848377,14.839675
FAC00092,Akwa Ibom PHC 26,Akwa Ibom,Akwa Ibom West,PHC,Public,6.366852,13.892324
FAC00093,Akwa Ibom PHC 27,Akwa Ibom,Akwa Ibom West,PHC,Public,4.835007,12.325763
FAC00094,Akwa Ibom PHC 28,Akwa Ibom,Akwa Ibom South,PHC,Public,7.302525,8.213422
FAC00095,Akwa Ibom PHC 29,Akwa Ibom,Akwa Ibom South,PHC,Public,11.409739,12.206338
FAC00096,Akwa Ibom General Hospital 30,Akwa Ibom,Akwa Ibom East,General Hospital,Public,9.833688,14.546071
FAC00097,Akwa Ibom PHC 31,Akwa Ibom,Akwa Ibom North,PHC,Public,6.235958,14.55867
FAC00098,Akwa Ibom PHC 32,Akwa Ibom,Akwa Ibom Central,PHC,Private,7.226864,3.520809
FAC00099,Akwa Ibom General Hospital 33,Akwa Ibom,Akwa Ibom West,General Hospital,Private,9.538543,14.63163
FAC00100,Anambra PHC 1,Anambra,Anambra North,PHC,Public,10.275581,10.011772
FAC00101,Anambra General Hospital 2,Anambra,Anambra West,General Hospital,Public,13.587024,3.694367
FAC00102,Anambra PHC 3,Anambra,Anambra Central,PHC,Public,6.773812,5.257454
FAC00103,Anambra PHC 4,Anambra,Anambra South,PHC,Public,6.659379,7.324141
FAC00104,Anambra PHC 5,Anambra,Anambra North,PHC,Public,6.797635,7.934481
FAC00105,Anambra PHC 6,Anambra,Anambra Central,PHC,Public,13.109272,12.870447
FAC00106,Anambra General Hospital 7,Anambra,Anambra North,General Hospital,Public,8.18243,14.192742
FAC00107,Anambra General Hospital 8,Anambra,Anambra North,General Hospital,Public,11.776023,8.764441
FAC00108,Anambra General Hospital 9,Anambra,Anambra South,General Hospital,Public,7.808909,14.638973
FAC00109,Anambra General Hospital 10,Anambra,Anambra South,General Hospital,Public,4.368219,4.606225
FAC00110,Anambra PHC 11,Anambra,Anambra West,PHC,Public,12.12901,14.996612
FAC00111,Anambra General Hospital 12,Anambra,Anambra Central,General Hospital,Public,11.261208,12.084974
FAC00112,Anambra PHC 13,Anambra,Anambra North,PHC,Public,5.291594,14.448612
FAC00113,Anambra PHC 14,Anambra,Anambra North,PHC,Public,11.569991,3.562758
FAC00114,Anambra PHC 15,Anambra,Anambra South,PHC,Public,9.203077,12.267821
FAC00115,Anambra PHC 16,Anambra,Anambra West,PHC,Private,9.60938,13.519843
FAC00116,Anambra PHC 17,Anambra,Anambra Central,PHC,Public,10.203096,11.448957
FAC00117,Anambra PHC 18,Anambra,Anambra West,PHC,Public,13.804627,10.297054
FAC00118,Anambra PHC 19,Anambra,Anambra East,PHC,Public,13.041587,7.179066
FAC00119,Anambra PHC 20,Anambra,Anambra West,PHC,Public,6.979595,9.283227
FAC00120,Anambra PHC 21,Anambra,Anambra South,PHC,Public,13.265876,8.905396
FAC00121,Anambra PHC 22,Anambra,Anambra South,PHC,Public,10.208057,7.168961
FAC00122,Anambra PHC 23,Anambra,Anambra East,PHC,Public,4.758633,4.546557
FAC00123,Anambra PHC 24,Anambra,Anambra West,PHC,Public,5.818801,7.148007
FAC00124,Anambra General Hospital 25,Anambra,Anambra Central,General Hospital,Public,13.731103,10.223225
FAC00125,Anambra PHC 26,Anambra,Anambra South,PHC,Public,6.785903,5.124126
FAC00126,Anambra PHC 27,Anambra,Anambra North,PHC,Public,7.559915,13.730607
FAC00127,Anambra PHC 28,Anambra,Anambra East,PHC,Public,4.393121,12.592925
FAC00128,Anambra PHC 29,Anambra,Anambra East,PHC,Public,13.208724,3.732936
FAC00129,Anambra PHC 30,Anambra,Anambra North,PHC,Public,9.972781,14.835084
FAC00130,Anambra PHC 31,Anambra,Anambra South,PHC,Private,11.599554,9.375189
FAC00131,Anambra PHC 32,Anambra,Anambra East,PHC,Public,6.524369,11.560195
FAC00132,Anambra General Hospital 33,Anambra,Anambra West,General Hospital,Public,5.07172,8.368948
FAC00133,Bauchi PHC 1,Bauchi,Bauchi North,PHC,Public,11.374052,5.187407
FAC00134,Bauchi PHC 2,Bauchi,Bauchi South,PHC,Public,9.353356,5.798597
FAC00135,Bauchi PHC 3,Bauchi,Bauchi South,PHC,Public,11.891712,8.981306
FAC00136,Bauchi PHC 4,Bauchi,Bauchi South,PHC,Public,9.577423,10.038425
FAC00137,Bauchi PHC 5,Bauchi,Bauchi Central,PHC,Public,7.630823,10.751007
FAC00138,Bauchi PHC 6,Bauchi,Bauchi Central,PHC,Public,7.303485,14.204302
FAC00139,Bauchi PHC 7,Bauchi,Bauchi West,PHC,Public,12.508175,4.054651
FAC00140,Bauchi General Hospital 8,Bauchi,Bauchi North,General Hospital,Public,4.802337,9.294137
FAC00141,Bauchi PHC 9,Bauchi,Bauchi South,PHC,Private,9.759984,14.008747
FAC00142,Bauchi PHC 10,Bauchi,Bauchi East,PHC,Private,12.208615,11.621487
FAC00143,Bauchi PHC 11,Bauchi,Bauchi Central,PHC,Public,11.694929,5.244525
FAC00144,Bauchi PHC 12,Bauchi,Bauchi North,PHC,Public,11.362472,9.35808
FAC00145,Bauchi PHC 13,Bauchi,Bauchi Central,PHC,Public,9.06104,14.184172
FAC00146,Bauchi PHC 14,Bauchi,Bauchi South,PHC,Public,8.54268,9.583237
FAC00147,Bauchi PHC 15,Bauchi,Bauchi South,PHC,Public,4.878681,4.665897
FAC00148,Bauchi PHC 16,Bauchi,Bauchi East,PHC,Public,7.488683,14.15435
FAC00149,Bauchi General Hospital 17,Bauchi,Bauchi Central,General Hospital,Private,11.308675,14.260085
FAC00150,Bauchi PHC 18,Bauchi,Bauchi West,PHC,Public,12.418288,4.677269
FAC00151,Bauchi PHC 19,Bauchi,Bauchi East,PHC,Public,5.642658,12.774897
FAC00152,Bauchi PHC 20,Bauchi,Bauchi West,PHC,Public,7.161966,10.05968
FAC00153,Bauchi PHC 21,Bauchi,Bauchi East,PHC,Public,10.241015,9.477373
FAC00154,Bauchi PHC 22,Bauchi,Bauchi North,PHC,Public,12.995746,7.606695
FAC00155,Bauchi PHC 23,Bauchi,Bauchi East,PHC,Private,9.428493,8.178338
FAC00156,Bauchi PHC 24,Bauchi,Bauchi South,PHC,Public,5.392721,12.528302
FAC00157,Bauchi PHC 25,Bauchi,Bauchi East,PHC,Public,11.885972,4.820099
FAC00158,Bauchi PHC 26,Bauchi,Bauchi North,PHC,Public,4.335324,9.838676
FAC00159,Bauchi PHC 27,Bauchi,Bauchi North,PHC,Private,5.02916,9.437776
FAC00160,Bauchi PHC 28,Bauchi,Bauchi West,PHC,Public,7.972873,12.567544
FAC00161,Bauchi PHC 29,Bauchi,Bauchi West,PHC,Public,11.71882,3.146437
FAC00162,Bauchi PHC 30,Bauchi,Bauchi South,PHC,Public,6.517991,7.148352
FAC00163,Bauchi PHC 31,Bauchi,Bauchi South,PHC,Private,13.472833,4.840217
FAC00164,Bauchi PHC 32,Bauchi,Bauchi North,PHC,Public,6.560155,11.713147
FAC00165,Bauchi PHC 33,Bauchi,Bauchi West,PHC,Public,11.900846,3.276271
FAC00166,Bayelsa PHC 1,Bayelsa,Bayelsa South,PHC,Public,4.689215,3.927853
FAC00167,Bayelsa PHC 2,Bayelsa,Bayelsa East,PHC,Public,8.508394,4.358857
FAC00168,Bayelsa General Hospital 3,Bayelsa,Bayelsa North,General Hospital,Public,7.321464,6.737331
FAC00169,Bayelsa PHC 4,Bayelsa,Bayelsa North,PHC,Public,11.442497,5.466958
FAC00170,Bayelsa PHC 5,Bayelsa,Bayelsa East,PHC,Public,7.981687,9.448747
FAC00171,Bayelsa General Hospital 6,Bayelsa,Bayelsa South,General Hospital,Public,8.80837,14.021457
FAC00172,Bayelsa PHC 7,Bayelsa,Bayelsa East,PHC,Public,5.40857,5.116644
FAC00173,Bayelsa PHC 8,Bayelsa,Bayelsa North,PHC,Public,7.623939,9.96706
FAC00174,Bayelsa PHC 9,Bayelsa,Bayelsa Central,PHC,Public,9.151737,14.706496
FAC00175,Bayelsa PHC 10,Bayelsa,Bayelsa West,PHC,Public,9.350697,5.213554
FAC00176,Bayelsa PHC 11,Bayelsa,Bayelsa East,PHC,Public,6.099056,13.776651
FAC00177,Bayelsa PHC 12,Bayelsa,Bayelsa Central,PHC,Public,7.777259,13.038778
FAC00178,Bayelsa PHC 13,Bayelsa,Bayelsa East,PHC,Public,8.532888,9.292683
FAC00179,Bayelsa PHC 14,Bayelsa,Bayelsa East,PHC,Public,5.552402,5.183138
FAC00180,Bayelsa General Hospital 15,Bayelsa,Bayelsa South,General Hospital,Private,6.707447,10.727995
FAC00181,Bayelsa PHC 16,Bayelsa,Bayelsa West,PHC,Public,12.397889,13.403925
FAC00182,Bayelsa PHC 17,Bayelsa,Bayelsa East,PHC,Public,6.310748,11.062713
FAC00183,Bayelsa PHC 18,Bayelsa,Bayelsa Central,PHC,Public,5.785447,10.832953
FAC00184,Bayelsa PHC 19,Bayelsa,Bayelsa East,PHC,Public,13.626493,14.332917
FAC00185,Bayelsa PHC 20,Bayelsa,Bayelsa South,PHC,Public,4.130019,4.026102
FAC00186,Bayelsa PHC 21,Bayelsa,Bayelsa Central,PHC,Public,12.764441,10.715107
FAC00187,Bayelsa PHC 22,Bayelsa,Bayelsa Central,PHC,Private,7.418174,6.113081
FAC00188,Bayelsa PHC 23,Bayelsa,Bayelsa West,PHC,Public,12.306545,7.142306
FAC00189,Bayelsa PHC 24,Bayelsa,Bayelsa Central,PHC,Public,6.944658,14.38144
FAC00190,Bayelsa PHC 25,Bayelsa,Bayelsa South,PHC,Public,9.657766,14.824408
FAC00191,Bayelsa PHC 26,Bayelsa,Bayelsa South,PHC,Public,4.224693,6.224128
FAC00192,Bayelsa PHC 27,Bayelsa,Bayelsa North,PHC,Public,5.393561,13.019163
FAC00193,Bayelsa General Hospital 28,Bayelsa,Bayelsa Central,General Hospital,Public,10.912219,11.198206
FAC00194,Bayelsa General Hospital 29,Bayelsa,Bayelsa South,General Hospital,Public,9.765165,6.288663
FAC00195,Bayelsa PHC 30,Bayelsa,Bayelsa South,PHC,Public,11.202026,4.278945
FAC00196,Bayelsa PHC 31,Bayelsa,Bayelsa East,PHC,Public,9.974131,10.206202
FAC00197,Bayelsa PHC 32,Bayelsa,Bayelsa Central,PHC,Public,12.38107,7.852578
FAC00198,Bayelsa PHC 33,Bayelsa,Bayelsa South,PHC,Public,5.662834,11.856403
FAC00199,Benue PHC 1,Benue,Benue South,PHC,Public,4.682497,13.044948
FAC00200,Benue PHC 2,Benue,Benue East,PHC,Private,6.971217,9.796856
FAC00201,Benue PHC 3,Benue,Benue Central,PHC,Public,8.837549,6.238935
FAC00202,Benue PHC 4,Benue,Benue West,PHC,Public,4.514258,8.956395
FAC00203,Benue PHC 5,Benue,Benue South,PHC,Public,8.742373,7.132605
FAC00204,Benue PHC 6,Benue,Benue Central,PHC,Public,10.884024,8.217928
FAC00205,Benue PHC 7,Benue,Benue Central,PHC,Public,4.023394,14.612393
FAC00206,Benue PHC 8,Benue,Benue Central,PHC,Public,4.915821,14.007763
FAC00207,Benue PHC 9,Benue,Benue North,PHC,Private,5.851329,9.502811
FAC00208,Benue General Hospital 10,Benue,Benue Central,General Hospital,Public,11.590358,11.68924
FAC00209,Benue PHC 11,Benue,Benue South,PHC,Private,8.89425,5.654513
FAC00210,Benue General Hospital 12,Benue,Benue South,General Hospital,Private,9.882638,14.992242
FAC00211,Benue PHC 13,Benue,Benue Central,PHC,Public,11.310237,5.311188
FAC00212,Benue PHC 14,Benue,Benue Central,PHC,Public,8.742142,13.344512
FAC00213,Benue General Hospital 15,Benue,Benue South,General Hospital,Public,10.445467,10.802008
FAC00214,Benue PHC 16,Benue,Benue Central,PHC,Public,4.769532,11.355465
FAC00215,Benue PHC 17,Benue,Benue West,PHC,Public,9.724278,12.647724
FAC00216,Benue PHC 18,Benue,Benue Central,PHC,Public,10.258914,13.631733
FAC00217,Benue PHC 19,Benue,Benue East,PHC,Public,12.700989,3.255233
FAC00218,Benue General Hospital 20,Benue,Benue East,General Hospital,Public,4.700297,3.113825
FAC00219,Benue PHC 21,Benue,Benue Central,PHC,Public,8.797813,9.969086
FAC00220,Benue PHC 22,Benue,Benue North,PHC,Public,7.363705,9.27023
FAC00221,Benue PHC 23,Benue,Benue Central,PHC,Public,7.546222,6.446868
FAC00222,Benue PHC 24,Benue,Benue North,PHC,Public,6.772656,13.924069
FAC00223,Benue PHC 25,Benue,Benue North,PHC,Public,10.796473,5.619047
FAC00224,Benue General Hospital 26,Benue,Benue East,General Hospital,Public,9.885542,14.787966
FAC00225,Benue General Hospital 27,Benue,Benue Central,General Hospital,Public,13.891849,11.920234
FAC00226,Benue PHC 28,Benue,Benue Central,PHC,Public,10.496466,10.292842
FAC00227,Benue PHC 29,Benue,Benue South,PHC,Public,7.840906,3.440783
FAC00228,Benue General Hospital 30,Benue,Benue Central,General Hospital,Public,4.578427,14.629232
FAC00229,Benue General Hospital 31,Benue,Benue South,General Hospital,Private,9.250315,6.1228
FAC00230,Benue PHC 32,Benue,Benue North,PHC,Public,5.538959,12.789997
FAC00231,Benue PHC 33,Benue,Benue North,PHC,Public,9.929399,9.961034
FAC00232,Borno PHC 1,Borno,Borno East,PHC,Private,6.729594,8.720122
FAC00233,Borno PHC 2,Borno,Borno South,PHC,Private,12.095161,10.862904
FAC00234,Borno PHC 3,Borno,Borno West,PHC,Public,7.726885,6.117045
FAC00235,Borno PHC 4,Borno,Borno Central,PHC,Public,6.201832,11.199105
FAC00236,Borno PHC 5,Borno,Borno Central,PHC,Private,8.805866,10.108893
FAC00237,Borno General Hospital 6,Borno,Borno South,General Hospital,Public,9.437789,13.373915
FAC00238,Borno PHC 7,Borno,Borno West,PHC,Public,12.505817,13.40753
FAC00239,Borno PHC 8,Borno,Borno North,PHC,Public,13.300904,4.270009
FAC00240,Borno PHC 9,Borno,Borno Central,PHC,Public,12.808708,13.462122
FAC00241,Borno PHC 10,Borno,Borno South,PHC,Public,12.199469,5.743502
FAC00242,Borno General Hospital 11,Borno,Borno South,General Hospital,Public,12.321342,9.089613
FAC00243,Borno PHC 12,Borno,Borno East,PHC,Public,13.811862,10.581762
FAC00244,Borno PHC 13,Borno,Borno Central,PHC,Public,11.798454,4.283768
FAC00245,Borno PHC 14,Borno,Borno South,PHC,Public,7.418722,10.591463
FAC00246,Borno General Hospital 15,Borno,Borno West,General Hospital,Public,5.737535,12.250249
FAC00247,Borno General Hospital 16,Borno,Borno West,General Hospital,Public,4.673506,9.986046
FAC00248,Borno PHC 17,Borno,Borno East,PHC,Public,12.524147,14.88178
FAC00249,Borno PHC 18,Borno,Borno East,PHC,Public,5.300862,12.099158
FAC00250,Borno PHC 19,Borno,Borno East,PHC,Public,6.525087,3.012354
FAC00251,Borno PHC 20,Borno,Borno West,PHC,Public,8.261813,8.416644
FAC00252,Borno PHC 21,Borno,Borno Central,PHC,Public,6.983744,13.079366
FAC00253,Borno PHC 22,Borno,Borno East,PHC,Public,6.732595,14.410363
FAC00254,Borno PHC 23,Borno,Borno Central,PHC,Public,13.095245,13.288321
FAC00255,Borno General Hospital 24,Borno,Borno Central,General Hospital,Public,13.839776,7.912008
FAC00256,Borno General Hospital 25,Borno,Borno Central,General Hospital,Public,6.003591,13.417474
FAC00257,Borno PHC 26,Borno,Borno West,PHC,Public,8.732099,14.618321
FAC00258,Borno PHC 27,Borno,Borno Central,PHC,Private,5.53658,8.444324
FAC00259,Borno PHC 28,Borno,Borno Central,PHC,Public,5.312449,3.390314
FAC00260,Borno General Hospital 29,Borno,Borno North,General Hospital,Public,4.012318,10.179927
FAC00261,Borno PHC 30,Borno,Borno North,PHC,Public,6.005247,8.899135
FAC00262,Borno PHC 31,Borno,Borno Central,PHC,Public,9.902639,8.198961
FAC00263,Borno General Hospital 32,Borno,Borno Central,General Hospital,Public,4.724469,7.709923
FAC00264,Borno PHC 33,Borno,Borno East,PHC,Public,10.949819,13.321469
FAC00265,Cross River PHC 1,Cross River,Cross River East,PHC,Public,5.049302,5.90454
FAC00266,Cross River General Hospital 2,Cross River,Cross River West,General Hospital,Public,11.02465,9.715784
FAC00267,Cross River PHC 3,Cross River,Cross River South,PHC,Public,9.342422,13.590402
FAC00268,Cross River PHC 4,Cross River,Cross River South,PHC,Public,7.969233,4.592589
FAC00269,Cross River PHC 5,Cross River,Cross River South,PHC,Public,12.214407,3.494202
FAC00270,Cross River PHC 6,Cross River,Cross River Central,PHC,Private,11.064757,3.379034
FAC00271,Cross River General Hospital 7,Cross River,Cross River North,General Hospital,Public,11.090605,13.451629
FAC00272,Cross River PHC 8,Cross River,Cross River East,PHC,Public,8.843984,10.929841
FAC00273,Cross River PHC 9,Cross River,Cross River South,PHC,Public,8.809038,3.489049
FAC00274,Cross River PHC 10,Cross River,Cross River South,PHC,Public,4.603521,5.965239
FAC00275,Cross River PHC 11,Cross River,Cross River South,PHC,Private,7.290174,8.642191
FAC00276,Cross River PHC 12,Cross River,Cross River Central,PHC,Private,10.587078,8.978349
FAC00277,Cross River PHC 13,Cross River,Cross River Central,PHC,Public,13.963339,14.697518
FAC00278,Cross River PHC 14,Cross River,Cross River East,PHC,Public,6.205611,8.020797
FAC00279,Cross River PHC 15,Cross River,Cross River North,PHC,Public,12.682725,11.726029
FAC00280,Cross River PHC 16,Cross River,Cross River West,PHC,Public,11.353503,12.212687
FAC00281,Cross River PHC 17,Cross River,Cross River East,PHC,Public,9.786754,8.263385
FAC00282,Cross River PHC 18,Cross River,Cross River South,PHC,Public,9.977236,12.515473
FAC00283,Cross River PHC 19,Cross River,Cross River South,PHC,Private,13.123633,5.527946
FAC00284,Cross River PHC 20,Cross River,Cross River North,PHC,Public,5.315677,11.5899
FAC00285,Cross River General Hospital 21,Cross River,Cross River West,General Hospital,Public,7.728486,9.151382
FAC00286,Cross River PHC 22,Cross River,Cross River North,PHC,Public,6.472311,13.448999
FAC00287,Cross River PHC 23,Cross River,Cross River North,PHC,Public,10.626213,4.143138
FAC00288,Cross River PHC 24,Cross River,Cross River West,PHC,Public,6.581334,10.88084
FAC00289,Cross River PHC 25,Cross River,Cross River West,PHC,Public,13.69821,8.445474
FAC00290,Cross River PHC 26,Cross River,Cross River South,PHC,Public,8.487776,11.032685
FAC00291,Cross River PHC 27,Cross River,Cross River East,PHC,Public,13.485834,6.030333
FAC00292,Cross River PHC 28,Cross River,Cross River East,PHC,Public,11.36402,10.965654
FAC00293,Cross River PHC 29,Cross River,Cross River West,PHC,Public,8.463686,13.370594
FAC00294,Cross River PHC 30,Cross River,Cross River West,PHC,Public,6.697496,3.685042
FAC00295,Cross River PHC 31,Cross River,Cross River Central,PHC,Private,10.40003,5.696414
FAC00296,Cross River PHC 32,Cross River,Cross River North,PHC,Public,9.072348,3.498874
FAC00297,Cross River PHC 33,Cross River,Cross River East,PHC,Private,4.0494,14.421741
